epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0474,0.49378,16.2893,0.50931,0.59327,0.27071,0.30634,0.20519,0.61036,7.62457,0.61505,0.000664,0.000664,0.000664
2,69.3616,0.66496,10.4979,0.66549,0.52905,0.29897,0.3463,0.23385,0.57315,4.40381,0.59223,0.0012648,0.0012648,0.0012648
3,102.846,0.64304,6.92386,0.66887,0.22234,0.45361,0.15569,0.10089,0.48502,5.72742,0.56547,0.0017996,0.0017996,0.0017996
4,143.463,0.61124,4.39746,0.68129,0.853,0.52577,0.67046,0.49401,0.44618,2.37775,0.54224,0.001703,0.001703,0.001703
5,173.262,0.69066,3.23641,0.73157,0.7401,0.58763,0.65714,0.48276,0.46046,0.74142,0.59218,0.001604,0.001604,0.001604
6,203.489,0.69337,2.37556,0.74335,0.92542,0.63964,0.77963,0.54796,0.47786,0.59599,0.56315,0.001505,0.001505,0.001505
7,232.523,0.61706,1.86965,0.6283,0.79749,0.69019,0.71427,0.48969,0.485,0.54785,0.57255,0.001406,0.001406,0.001406
8,259.627,0.53692,1.50119,0.55998,0.87391,0.68041,0.75853,0.56636,0.41292,0.60264,0.53149,0.001307,0.001307,0.001307
9,287.182,0.59872,1.40447,0.639,0.90745,0.70762,0.75571,0.55169,0.42704,0.75825,0.55174,0.001208,0.001208,0.001208
10,316.097,0.55578,1.13924,0.62623,0.92092,0.72035,0.7692,0.5968,0.3802,0.62437,0.51849,0.001109,0.001109,0.001109
11,343.661,0.3273,0.8625,0.39795,0.87398,0.78651,0.81219,0.60483,0.42884,0.4744,0.54873,0.00101,0.00101,0.00101
12,370.553,0.31666,0.72859,0.36756,0.88783,0.73442,0.83213,0.60275,0.42358,0.51676,0.54335,0.000911,0.000911,0.000911
13,395.954,0.30475,0.67755,0.386,0.83469,0.79381,0.82802,0.63582,0.37841,0.44195,0.53631,0.000812,0.000812,0.000812
14,424.548,0.30492,0.54823,0.37967,0.87729,0.81443,0.87933,0.6321,0.41735,0.40692,0.54171,0.000713,0.000713,0.000713
15,452.267,0.36497,0.60646,0.43514,0.87913,0.79381,0.86228,0.6735,0.34946,0.39099,0.49793,0.000614,0.000614,0.000614
16,478.633,0.29126,0.50848,0.36048,0.92052,0.82474,0.88847,0.6938,0.33752,0.52495,0.49604,0.000515,0.000515,0.000515
17,503.798,0.26985,0.46044,0.35307,0.8983,0.81954,0.8919,0.7122,0.3408,0.35317,0.49656,0.000416,0.000416,0.000416
18,529.995,0.28277,0.51775,0.35696,0.89038,0.87629,0.90889,0.72822,0.30845,0.32109,0.47663,0.000317,0.000317,0.000317
19,556.817,0.25499,0.4413,0.33828,0.94201,0.83741,0.92055,0.73308,0.32073,0.3067,0.47268,0.000218,0.000218,0.000218
20,583.821,0.29017,0.43113,0.36816,0.95253,0.84536,0.91335,0.74493,0.29145,0.31359,0.45733,0.000119,0.000119,0.000119
